"model","exp_id","compute_tier","theta_id","facet_lab","n","gamma","gamma_lab","net_size","mu_star","sigma_star","mu_hat","sigma_hat","a_dstat","e_orbit","decode_time"
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00844072069688628,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00510815191868197,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00728300891890965,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",300,0.4,"gamma=0.4",45,0.3,0.5,0,0.5,0.0030157836567446,0.3,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",300,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00586738056173519,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",300,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00450597222939442,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",300,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00414931209315805,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",300,0.4,"gamma=0.4",45,0.3,0.5,0,0.5,0.00628360841275299,0.3,0.00999999999839929
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",300,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00483414080705158,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",300,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00445995278001432,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",300,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.0029504735920004,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",300,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00500474908564119,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",300,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00581174050526534,0.1,0.0200000000004366
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",300,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00559238662622374,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",300,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00283314069624907,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",300,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.0035885218411299,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",300,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00275970713161133,0.1,0.0200000000004366
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",300,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00727214165557966,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",300,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00266850971997457,0.1,0.0100000000020373
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",300,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00716435906954394,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",300,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00188251719772403,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",300,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00309216447699612,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",300,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00399550028136542,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",300,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00257861548433624,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",300,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.0040737072184408,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",300,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00439632375938714,0.1,0.0200000000004366
