theta_id,facet_lab,mu_star,sigma_star,n,eps,p_success
15,"mu=3.00, sigma=2.00",3,2,25,0.05,0
15,"mu=3.00, sigma=2.00",3,2,25,0.1,0.022
15,"mu=3.00, sigma=2.00",3,2,25,0.2,0.108
15,"mu=3.00, sigma=2.00",3,2,50,0.05,0.018
15,"mu=3.00, sigma=2.00",3,2,50,0.1,0.054
15,"mu=3.00, sigma=2.00",3,2,50,0.2,0.2
15,"mu=3.00, sigma=2.00",3,2,100,0.05,0.038
15,"mu=3.00, sigma=2.00",3,2,100,0.1,0.106
15,"mu=3.00, sigma=2.00",3,2,100,0.2,0.338
15,"mu=3.00, sigma=2.00",3,2,200,0.05,0.046
15,"mu=3.00, sigma=2.00",3,2,200,0.1,0.18
15,"mu=3.00, sigma=2.00",3,2,200,0.2,0.546
15,"mu=3.00, sigma=2.00",3,2,400,0.05,0.084
15,"mu=3.00, sigma=2.00",3,2,400,0.1,0.318
15,"mu=3.00, sigma=2.00",3,2,400,0.2,0.79
15,"mu=3.00, sigma=2.00",3,2,800,0.05,0.188
15,"mu=3.00, sigma=2.00",3,2,800,0.1,0.564
15,"mu=3.00, sigma=2.00",3,2,800,0.2,0.946
15,"mu=3.00, sigma=2.00",3,2,1600,0.05,0.346
15,"mu=3.00, sigma=2.00",3,2,1600,0.1,0.772
15,"mu=3.00, sigma=2.00",3,2,1600,0.2,0.99
