"model","exp_id","theta_id","facet_lab","mu_star","sigma_star","n","eps","gamma","net_size","tau","tie_rule","p_success","p_se","time_eval_med","time_eval_mean"
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,800,0.1,0.05,1891,0.01,"uniform",0.986666666666667,0.00936502555809132,0.229999999999563,0.23733333333336
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,800,0.1,0.05,1891,0.02,"uniform",0.846666666666667,0.0294190666317183,0.229999999999563,0.23733333333336
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,800,0.1,0.05,1891,0.05,"uniform",0.46,0.0406939798987516,0.229999999999563,0.23733333333336
"folded_normal","L-FN3",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,100,0.1,0.05,1891,0,"uniform",0.0733333333333333,0.0212846667119088,0.0599999999994907,0.0637999999999981
"folded_normal","L-FN3",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,100,0.1,0.05,1891,1e-04,"uniform",0.0666666666666667,0.0203670030886926,0.0599999999994907,0.0637999999999981
"folded_normal","L-FN3",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,100,0.1,0.05,1891,5e-04,"uniform",0.12,0.0265329983228432,0.0599999999994907,0.0637999999999981
"folded_normal","L-FN3",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,100,0.1,0.05,1891,0.001,"uniform",0.273333333333333,0.0363888464800431,0.0599999999994907,0.0637999999999981
"folded_normal","L-FN3",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,100,0.1,0.05,1891,0.002,"uniform",0.446666666666667,0.040591916728626,0.0599999999994907,0.0637999999999981
"folded_normal","L-FN3",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,100,0.1,0.05,1891,0.005,"uniform",0.773333333333333,0.0341846835964967,0.0599999999994907,0.0637999999999981
"folded_normal","L-FN3",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,100,0.1,0.05,1891,0.01,"uniform",0.766666666666667,0.0345339339287112,0.0599999999994907,0.0637999999999981
"folded_normal","L-FN3",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,100,0.1,0.05,1891,0.02,"uniform",0.673333333333333,0.0382932157225059,0.0599999999994907,0.0637999999999981
"folded_normal","L-FN3",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,100,0.1,0.05,1891,0.05,"uniform",0.353333333333333,0.03902895411434,0.0599999999994907,0.0637999999999981
"folded_normal","L-FN3",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,200,0.1,0.05,1891,0,"uniform",0.0466666666666667,0.0172218637955534,0.0799999999999272,0.0861333333333217
"folded_normal","L-FN3",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,200,0.1,0.05,1891,1e-04,"uniform",0.0666666666666667,0.0203670030886926,0.0799999999999272,0.0861333333333217
"folded_normal","L-FN3",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,200,0.1,0.05,1891,5e-04,"uniform",0.173333333333333,0.0309072687123799,0.0799999999999272,0.0861333333333217
