"model","exp_id","theta_id","facet_lab","mu_star","sigma_star","n","eps","gamma","gamma_lab","net_size","p_success"
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,50,0.1,0.1,"gamma=0.1",496,0.0866666666666667
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,100,0.1,0.1,"gamma=0.1",496,0.166666666666667
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,200,0.1,0.1,"gamma=0.1",496,0.226666666666667
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,400,0.1,0.1,"gamma=0.1",496,0.4
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,800,0.1,0.1,"gamma=0.1",496,0.5
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,50,0.1,0.05,"gamma=0.05",1891,0.106666666666667
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,100,0.1,0.05,"gamma=0.05",1891,0.166666666666667
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,200,0.1,0.05,"gamma=0.05",1891,0.206666666666667
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,400,0.1,0.05,"gamma=0.05",1891,0.406666666666667
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,800,0.1,0.05,"gamma=0.05",1891,0.486666666666667
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,50,0.1,0.1,"gamma=0.1",496,0.0933333333333333
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,100,0.1,0.1,"gamma=0.1",496,0.2
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,200,0.1,0.1,"gamma=0.1",496,0.273333333333333
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,400,0.1,0.1,"gamma=0.1",496,0.473333333333333
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,800,0.1,0.1,"gamma=0.1",496,0.62
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,50,0.1,0.05,"gamma=0.05",1891,0.133333333333333
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,100,0.1,0.05,"gamma=0.05",1891,0.18
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,200,0.1,0.05,"gamma=0.05",1891,0.3
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,400,0.1,0.05,"gamma=0.05",1891,0.393333333333333
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,800,0.1,0.05,"gamma=0.05",1891,0.56
"folded_normal","L-FN2",15,"id=15 (mu*=3, sigma*=2)",3,2,50,0.1,0.1,"gamma=0.1",496,0.46
"folded_normal","L-FN2",15,"id=15 (mu*=3, sigma*=2)",3,2,100,0.1,0.1,"gamma=0.1",496,0.546666666666667
"folded_normal","L-FN2",15,"id=15 (mu*=3, sigma*=2)",3,2,200,0.1,0.1,"gamma=0.1",496,0.706666666666667
"folded_normal","L-FN2",15,"id=15 (mu*=3, sigma*=2)",3,2,400,0.1,0.1,"gamma=0.1",496,0.833333333333333
"folded_normal","L-FN2",15,"id=15 (mu*=3, sigma*=2)",3,2,800,0.1,0.1,"gamma=0.1",496,0.94
"folded_normal","L-FN2",15,"id=15 (mu*=3, sigma*=2)",3,2,50,0.1,0.05,"gamma=0.05",1891,0.5
"folded_normal","L-FN2",15,"id=15 (mu*=3, sigma*=2)",3,2,100,0.1,0.05,"gamma=0.05",1891,0.54
"folded_normal","L-FN2",15,"id=15 (mu*=3, sigma*=2)",3,2,200,0.1,0.05,"gamma=0.05",1891,0.693333333333333
"folded_normal","L-FN2",15,"id=15 (mu*=3, sigma*=2)",3,2,400,0.1,0.05,"gamma=0.05",1891,0.766666666666667
"folded_normal","L-FN2",15,"id=15 (mu*=3, sigma*=2)",3,2,800,0.1,0.05,"gamma=0.05",1891,0.973333333333333
