"model","exp_id","theta_id","facet_lab","mu_star","sigma_star","n","gamma","gamma_lab","net_size","q10","q25","q50","q75","q90"
"folded_normal","L-FN2",12,"id=12 (mu*=0.75, sigma*=2)",0.75,2,400,0.1,"gamma=0.1",496,0.0499999999999999,0.15,0.25,0.460977222864644,0.626498204307083
"folded_normal","L-FN2",12,"id=12 (mu*=0.75, sigma*=2)",0.75,2,800,0.1,"gamma=0.1",496,0.05,0.05,0.1651387818866,0.403112887414928,0.585234995535981
"folded_normal","L-FN2",12,"id=12 (mu*=0.75, sigma*=2)",0.75,2,50,0.05,"gamma=0.05",1891,0.146180339887499,0.276943680267544,0.606214275854775,0.899647661899477,1.12405436916778
"folded_normal","L-FN2",12,"id=12 (mu*=0.75, sigma*=2)",0.75,2,100,0.05,"gamma=0.05",1891,0.15,0.35,0.545416345659799,0.764852927038918,0.944583167757808
"folded_normal","L-FN2",12,"id=12 (mu*=0.75, sigma*=2)",0.75,2,200,0.05,"gamma=0.05",1891,0.137279220613579,0.206155281280883,0.425732127988903,0.636858868884235,0.815763511709953
"folded_normal","L-FN2",12,"id=12 (mu*=0.75, sigma*=2)",0.75,2,400,0.05,"gamma=0.05",1891,0.05,0.119207888215569,0.269258240356725,0.51478150704935,0.694801920911162
"folded_normal","L-FN2",12,"id=12 (mu*=0.75, sigma*=2)",0.75,2,800,0.05,"gamma=0.05",1891,0.05,0.1,0.25,0.449303398874989,0.604152298679729
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,50,0.1,"gamma=0.1",496,0.1,0.2,0.380277563773199,0.558893188890291,0.7
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,100,0.1,"gamma=0.1",496,0.0999999999999999,0.2,0.3,0.424264068711928,0.567426401402767
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,200,0.1,"gamma=0.1",496,0,0.1,0.2,0.312170824512628,0.424264068711928
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,400,0.1,"gamma=0.1",496,0,0.0999999999999999,0.1,0.223606797749979,0.3
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,800,0.1,"gamma=0.1",496,0,0.025,0.1,0.141421356237309,0.223606797749979
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,50,0.05,"gamma=0.05",1891,0.0999999999999999,0.25,0.4,0.620393585465216,0.751321687612369
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,100,0.05,"gamma=0.05",1891,0.05,0.119207888215569,0.262104608018182,0.4,0.570087712549569
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,200,0.05,"gamma=0.05",1891,0.05,0.102950849718747,0.206155281280883,0.320156211871643,0.413505913176782
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,400,0.05,"gamma=0.05",1891,0,0.05,0.111803398874989,0.220738106901475,0.316620610602318
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,800,0.05,"gamma=0.05",1891,0,0.05,0.1,0.158113883008419,0.25
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,50,0.1,"gamma=0.1",496,0.111803398874989,0.1575693909433,0.35,0.458232917148483,0.65
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,100,0.1,"gamma=0.1",496,0.0500000000000003,0.111803398874989,0.1802775637732,0.31615169053246,0.403112887414928
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,200,0.1,"gamma=0.1",496,0.0499999999999998,0.0500000000000003,0.15,0.25,0.320156211871642
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,400,0.1,"gamma=0.1",496,0.0499999999999998,0.0499999999999998,0.111803398874989,0.15,0.206155281280883
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,800,0.1,"gamma=0.1",496,0.0499999999999998,0.0499999999999998,0.0500000000000003,0.111803398874989,0.15
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,50,0.05,"gamma=0.05",1891,0.0500000000000002,0.15,0.310182946265875,0.447213595499958,0.600207972893961
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,100,0.05,"gamma=0.05",1891,0.0500000000000003,0.111803398874989,0.223606797749979,0.313205356141356,0.403112887414927
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,200,0.05,"gamma=0.05",1891,0.0499999999999998,0.0707106781186545,0.145710678118655,0.2,0.271487175795279
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,400,0.05,"gamma=0.05",1891,0.0499999999999998,0.0500000000000003,0.1,0.174736643582004,0.223606797749979
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,800,0.05,"gamma=0.05",1891,0,0.0499999999999998,0.0707106781186548,0.111803398874989,0.158113883008419
"folded_normal","L-FN2",15,"id=15 (mu*=3, sigma*=2)",3,2,50,0.1,"gamma=0.1",496,0,0,0.2,0.316227766016838,0.5
"folded_normal","L-FN2",15,"id=15 (mu*=3, sigma*=2)",3,2,100,0.1,"gamma=0.1",496,0,0,0.0999999999999999,0.2,0.316227766016838
"folded_normal","L-FN2",15,"id=15 (mu*=3, sigma*=2)",3,2,200,0.1,"gamma=0.1",496,0,0,0.0999999999999996,0.141421356237309,0.2
"folded_normal","L-FN2",15,"id=15 (mu*=3, sigma*=2)",3,2,400,0.1,"gamma=0.1",496,0,0,0.0999999999999996,0.0999999999999999,0.2
"folded_normal","L-FN2",15,"id=15 (mu*=3, sigma*=2)",3,2,800,0.1,"gamma=0.1",496,0,0,0,0.0999999999999996,0.0999999999999999
"folded_normal","L-FN2",15,"id=15 (mu*=3, sigma*=2)",3,2,50,0.05,"gamma=0.05",1891,0,0,0.105901699437495,0.303103594886183,0.462313665480705
